Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,WS-C3750G-48PS-S#JV#PACK9074-1,1537722000,FOC1449W4QK,0,39,wh by viet,2019-08-06T01:52:12.000Z,WS-C3750G-48PS-S#JV#PACK9074-1,WS-C3750G-48PS-S
USEB,WS-C3750G-48PS-S#JV#PACK8121-2,1537722000,FOC1449W02W,0,39,wh by viet,2019-08-06T01:52:12.000Z,WS-C3750G-48PS-S#JV#PACK8121-2,WS-C3750G-48PS-S
USEB,WS-C3750G-48PS-S#JV#PACK9073-2,1537722000,FOC1449W4QN,0,39,wh by viet,2019-08-06T01:52:12.000Z,WS-C3750G-48PS-S#JV#PACK9073-2,WS-C3750G-48PS-S
USEB,WS-C3750G-48PS-S#JV#PACK8112,1537722000,FOC1208Y32Z,0,39,wh by viet,2019-08-06T01:52:12.000Z,WS-C3750G-48PS-S#JV#PACK8112,WS-C3750G-48PS-S
USEB,WS-C3750G-48PS-S#JV#PACK8112,1537722000,FOC1208Y2Z3,0,39,wh by viet,2019-08-06T01:52:12.000Z,WS-C3750G-48PS-S#JV#PACK8112,WS-C3750G-48PS-S
USEB,WS-C3750G-48PS-S#JV#PACK8121-2,1537722000,FOC1446W4NB,0,39,wh by viet,2019-08-06T01:52:12.000Z,WS-C3750G-48PS-S#JV#PACK8121-2,WS-C3750G-48PS-S
USEB,WS-C3750G-48PS-S#JV#PACK8112,1537722000,FOC1208Y39Z,0,39,wh by viet,2019-08-06T01:52:12.000Z,WS-C3750G-48PS-S#JV#PACK8112,WS-C3750G-48PS-S
USEB,WS-C3750G-48PS-S#JV#PACK8121-2,1537722000,FOC1446W4KS,0,39,wh by viet,2019-08-06T01:52:12.000Z,WS-C3750G-48PS-S#JV#PACK8121-2,WS-C3750G-48PS-S
USEB,WS-C2960X-48FPD-L#JV,1537894800,FOC2130T2KC,0,39,IP China,2019-08-06T01:52:12.000Z,WS-C2960X-48FPD-L#JV,WS-C2960X-48FPD-L
USEB,WS-C2960S-48LPS-L#JV#PACK8111,1538499600,FOC1419X1LK,0,39,wh by viet,2019-08-06T01:52:19.000Z,WS-C2960S-48LPS-L#JV#PACK8111,WS-C2960S-48LPS-L
USEB,WS-C2960S-24PS-L#JV#PACK8104,1538499600,FOC1539Z474,0,39,wh by viet,2019-08-06T01:52:19.000Z,WS-C2960S-24PS-L#JV#PACK8104,WS-C2960S-24PS-L
USEB,WS-C2960S-24PS-L#JV#PACK8104,1538499600,FOC1416Z4ZG,0,39,wh by viet,2019-08-06T01:52:19.000Z,WS-C2960S-24PS-L#JV#PACK8104,WS-C2960S-24PS-L
