Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM1414265K,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141423NZ,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM14142365,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM1414235P,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141425HU,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM14142356,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141424W3,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141424Q4,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM142720LS,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141425HQ,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
