8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:08","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"41","7","783","FGL1717X43A",NULL,"8.BOX.0144; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:26:48","3000","1","1","8.BOX.0144",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"42","7","783","FGL1717X42Q",NULL,"8.BOX.0144; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:26:49","3000","1","1","8.BOX.0144",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"43","7","783","FGL1715S94M",NULL,"8.BOX.0144; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:26:49","3000","1","1","8.BOX.0144",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"44","7","783","FGL1717X40D",NULL,"8.BOX.0144; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:26:48","3000","1","1","8.BOX.0144",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"45","7","783","FGL1717X3E5",NULL,"8.BOX.0144; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:26:48","3000","1","1","8.BOX.0144",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"46","7","783","FGL1717X426",NULL,"8.BOX.0144; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:26:48","3000","1","1","8.BOX.0144",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"47","7","783","FGL1729X0GK",NULL,"8.BOX.0144; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:26:49","3000","1","1","8.BOX.0144",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"48","7","783","FGL1717X3YU",NULL,"8.BOX.0144; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:26:49","3000","1","1","8.BOX.0144",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"49","7","783","FGL1715S94T",NULL,"8.BOX.0144; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:26:49","3000","1","1","8.BOX.0144",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"50","7","783","FGL1826S4C4",NULL,"8.BOX.0144; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:26:49","3000","1","1","8.BOX.0144",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"51","7","783","FGL1715S955",NULL,"8.BOX.0144; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:26:49","3000","1","1","8.BOX.0144",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"52","7","783","FGL1717X3ZX",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:06","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"53","7","783","FGL1715S94S",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:07","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"54","7","783","FGL1717X3Z9",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:07","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"55","7","783","FGL1717X408",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:07","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"56","7","783","FGL1717X43B",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:08","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"57","7","783","FGL1717X404",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:08","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"58","7","783","FGL1711S8Z8",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:07","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"59","7","783","FGL1717X414",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by N",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:08","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"60","7","783","FGL1717X41W",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:08","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"61","7","783","FGL1717X43R",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:08","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"62","7","783","FGL1717X3CZ",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:07","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"63","7","783","FGL1717X3CE",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:07","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"64","7","783","FGL1717X3CX",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:07","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"65","7","783","FGL1717X3CV",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:07","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"66","7","783","FGL1717X3BM",NULL,"8.BOX.0142; 07/05/2020
8.3.3.0.0; 27/03/2020wh by viet",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:06:23","3000","1","1","8.BOX.0142",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
