Supplier,Model,SerialNumber,Condition,Note,ReceivedDate,StockStatus,
39,CAB-STK-E-0.5M#JV,IPS004405,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004406,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004407,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004408,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004409,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004410,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004411,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004412,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004413,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004414,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-SPWR-30CM#JV,IPS004415,USEB,"Pack#: Pack3955
From: sardonyx247---to CablesAndKits - PO48708,49014",1485882000,0,
39,CAB-SPWR-30CM#JV,IPS004416,USEB,"Pack#: Pack3946
From: 	 liquid8technolog---to CablesAndKits - PO48708,49014",1485968400,0,
39,CAB-SPWR-30CM#JV,IPS004417,USEB,"Pack#: Pack3946
From: 	 liquid8technolog---to CablesAndKits - PO48708,49014",1485968400,0,
39,CAB-SPWR-30CM#JV,IPS004418,USEB,"Pack#: Pack3946
From: 	 liquid8technolog---to CablesAndKits - PO48708,49014",1485968400,0,
39,CAB-SPWR-30CM#JV,IPS004419,USEB,"Pack#: Pack3946
From: 	 liquid8technolog---to CablesAndKits - PO48708,49014",1485968400,0,
