Supplier,Condition,Model,ReceivedDate,SerialNumber,StockStatus,Note,oldModelName,newModelName
39,USEB,CISCO1841,1419958800,FHK11071627,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK121820R4,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK091323B9,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK121820TL,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK121820S0,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK1135F42S,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK1135F432,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,WS-X6724-SFP,1420131600,SAL1206F8H7,0,osi hardware--,WS-X6724-SFP,WS-X6724-SFP
39,USEB,WS-X6724-SFP,1420131600,SAL1206FV26,0,osi hardware--,WS-X6724-SFP,WS-X6724-SFP
39,USEB,WS-X6724-SFP,1420131600,SAL114998NL,0,osi hardware--,WS-X6724-SFP,WS-X6724-SFP
39,USEB,WS-X4548-GB-RJ45V,1420131600,JAE1051HX14,0,osi hardware--,WS-X4548-GB-RJ45V,WS-X4548-GB-RJ45V
39,USEB,WS-X4548-GB-RJ45V,1420131600,JAE10265B4N,0,osi hardware--,WS-X4548-GB-RJ45V,WS-X4548-GB-RJ45V
39,USEB,WS-C2960S-24TS-S,1420390800,FOC1504X0WY,0,osi hardware--,WS-C2960S-24TS-S,WS-C2960S-24TS-S
39,USEB,WS-C2960S-24TS-S,1420390800,FOC1504X0WS,0,osi hardware--,WS-C2960S-24TS-S,WS-C2960S-24TS-S
39,USEB,WS-C2960S-24TS-S,1420390800,FOC1504X0WL,0,osi hardware--,WS-C2960S-24TS-S,WS-C2960S-24TS-S
