Supplier,Model,SerialNumber,Condition,Note,ReceivedDate,StockStatus
39,GLC-LH-SM,FNS1030H8YL,USEB,"V01,---osi hardware",1386954000,0
39,GLC-LH-SM,FNS0849E0E5,USEB,"V01,---osi hardware",1386954000,0
39,GLC-LH-SM,FNS0849E0CT,USEB,"V01,---osi hardware",1386954000,0
39,GLC-LH-SM,FNS0849M04U,USEB,"V01,---osi hardware",1386954000,0
39,GLC-LH-SM,FNS1023K0LD,USEB,"V01,---osi hardware",1386954000,0
39,GLC-LH-SM,FNS0848M1CL,USEB,"V01,---osi hardware",1386954000,0
39,GLC-LH-SM,FNS0849E0E8,USEB,"V01,---osi hardware",1386954000,0
39,GLC-LH-SM,AGD1229U7LZ,USEB,"V01,---osi hardware",1386954000,0
39,GLC-LH-SM,AGC1342UB8G,USEB,"V01,---osi hardware",1386954000,0
39,GLC-LH-SM,AGD1229U7M0,USEB,"V01,---osi hardware",1386954000,0
39,GLC-LH-SM,AGD1229U7LF,USEB,"V01,---osi hardware",1386954000,0
39,GLC-LH-SM,AGD1229U7M1,USEB,"V01,---osi hardware",1386954000,0
39,GLC-LH-SM,AGC1342UCHM,USEB,"V02,---osi hardware",1386954000,0
39,GLC-LH-SM- FAKE,FNS010L1844,PART,"SMD.BOX.025; 03/12/2019
---SMD.BOX.025; 11/10/2019---V01, Fake unit---osi hardware",1386954000,1
39,GLC-LH-SM- FAKE,FNS010L1611,PART,"SMD.BOX.025; 03/12/2019
---SMD.BOX.025; 11/10/2019---V01, Fake unit---osi hardware",1386954000,0
39,GLC-LH-SM- FAKE,FNS010L1741,PART,"V01, Fake unit---osi hardware",1386954000,0
39,GLC-LH-SM- FAKE,FNS010L1615,PART,"V01, Fake unit---osi hardware",1386954000,0
39,GLC-LH-SM- FAKE,FNS010L1678,PART,"SMD.BOX.025; 03/12/2019
---SMD.BOX.025; 11/10/2019---V01, Fake unit---osi hardware",1386954000,1
39,GLC-LH-SM- FAKE,NS132301R3,PART,"SMD.BOX.025; 03/12/2019
---SMD.BOX.025; 11/10/2019---V01, Fake unit---osi hardware",1386954000,1
39,GLC-LH-SM- FAKE,FNS010L2689,PART,"V01, Fake unit---osi hardware",1386954000,0
39,GLC-SX-MM,AGM1103J0KK,USEB,V02---osi hardware,1386954000,0
39,GLC-SX-MM,AGS075009A4,USEB,V01---osi hardware,1386954000,0
39,GLC-SX-MM,FNS0850D3GE,USEB,V01---osi hardware,1386954000,0
39,GLC-SX-MM,OPA10260795,PART,"Wh by Trung, Broken for part only---osi hardware",1386954000,0
39,GLC-SX-MM,OPA10472570,PART,"Wh by Trung, Broken for part only---osi hardware",1386954000,0
39,GLC-SX-MM,OPA10464851,PART,"Wh by Trung, Broken for part only---osi hardware",1386954000,0
39,GLC-SX-MM,OPA10400742,PART,"V02, Broken for part---osi hardware",1386954000,0
39,GLC-SX-MM,AGM1103J0L7,PART,"Wh by Trung, Broken for part only---osi hardware",1386954000,0
39,GLC-SX-MM,OPA10260804,PART,"Wh by Trung, Broken for part only---osi hardware",1386954000,0
39,GLC-SX-MM,OPA10472773,PART,"Wh by Trung, Broken for part only---osi hardware",1386954000,0
39,PVDM2-8,FOC10220JPL,USEB,osi hardware,1386954000,0
39,PVDM2-8,FOC13214BQD,USEB,osi hardware,1386954000,0
39,EHWIC-D-8ESG-P,FOC16296P7V,USEB,WH by Long---osi hardware,1386608400,0
39,EHWIC-VA-DSL-A ,FOC16251H1C,USEB,Model Note:V01---osi hardware,1386608400,0
39,GLC-SX-MMD,AGA1744R7UD,USEB,osi hardware,1386608400,0
39,GLC-SX-MMD,AGA1744R4SC,USEB,osi hardware,1386608400,0
39,GLC-SX-MMD,AGA1744RK72,USEB,osi hardware,1386608400,0
39,GLC-SX-MMD,AGA1744RDH0,USEB,osi hardware,1386608400,0
39,CISCO1601,11820,USEB,osi hardware,1386608400,0
39,N3K-C3064PQ-10GX,FOC1943R0G1,USEB,wh by Khang,1575219600,1
39,N2200-PAC-400W-B,LIT17260FHM,USEB,wh by Khang,1575219600,0
39,N2200-PAC-400W-B,LIT17260FHN,USEB,wh by Khang,1575219600,0
39,N2200-PAC-400W-B,DCA210442UY,USEB,wh by CuongTM,1575219600,0
39,N2200-PAC-400W-B,DCA2104403P,USEB,wh by CuongTM,1575219600,0
39,N3K-C3064PQ-10GX,FOC1715R1VR,USEB,wh by CuongTM,1575219600,1
39,N2200-PAC-400W-B,LIT17260VXW,USEB,wh by CuongTM,1575219600,1
